STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,PYLON,GEOTRC_SAMPNO,TARGET_DEPTH
1,1,5,GF-18,3,6,,200.0
1,1,20,GF-15,3,20,,200.0
1,2,17,GSNIS-17,3,17,,1000.0
1,2,29,GSNIS-29,4,29,,1000.0
1,3,6,GF-41,3,6 ,,200.0
1,3,7,     ,9,  ,,200.0
1,3,8,     ,9,  ,,200.0
1,3,11,GF-12,3,12,,200.0
1,3,15,     ,9,  ,,200.0
1,3,16,     ,9,  ,,200.0
1,3,17,GF-37,3,18,,200.0
1,3,23,     ,9,  ,,200.0
1,3,24,     ,9,  ,,200.0
2,1,5,GF-18,3,6,18791.0,200.0
2,5,4,GF-32,3,4 ,18812,200.0
2,5,5,     ,9,  ,     ,200.0
2,5,6,     ,9,  ,     ,200.0
2,5,11,     ,9,  ,     ,200.0
2,5,12,     ,9,  ,     ,200.0
2,5,17,     ,9,  ,     ,200.0
2,5,18,     ,9,  ,     ,200.0
2,5,21,GF-39,3,22,18801,200.0
2,5,23,     ,9,  ,     ,200.0
2,5,24,     ,9,  ,     ,200.0
3,1,11,GF-31,3,12,18838,400.0
3,1,23,GF-24,3,24,18826,25.0
3,5,3,GSNIS-3 ,4,3,18884,1249.0
3,7,11,GF-33,3,12,18899,3801.0
3,9,7,GSNIS-7 ,3,7,18925,4592.0
3,9,21,GSNIS-21,3,21,18921,3500.0
4,3,11,GSNIS-11,3,11,18972,300.0
4,4,21,GF-4 ,4,22,18943,20.0
4,4,22,GF-14,4,22,18942,20.0
4,8,17,GF-48,4,18,19007,1350.0
5,3,29,GSNIS-29,4,29,19076,45.0
6,2,21,GF-4 ,3,22,19157,30.0
7,2,21,GF-22,3,22,19218,10.0
7,6,13,GF-11,4,14,19263,500.0
7,6,15,GF-1 ,4,14,19261,500.0
8,6,30,GSNIS-30,4,30,19350,50.0
9,2,24,GF-42,3,24,19363,10.0
9,6,32,GSNIS-32,3,32,19411,20.0
10,2,1,GF-19,4,2,19455,720.0
10,2,2,GF-27,4,2,19454,720.0
10,6,34,GSNIS-34,4,34,19479,10.0
11,2,12,GF-49,3,12,19522,200.0
11,2,20,GF-15,3,20,19514,50.0
12,2,10,GF-17,3,9,19587,275.0
12,2,23,GF-4 ,3,23,19574,10.0
12,2,24,GF-42,3,23,19573,10.0
13,2,11,GF-11,3,11,19683,650.0
13,2,12,GF-49,3,11,19682,650.0
14,2,16,GF-35,3,17,19740,180.0
14,2,17,GF-49,3,17,19739,180.0
14,6,22,GF-15,4,23,19785,10.0
14,6,23,GF-21,4,23,19784,10.0
14,6,24,GF-2 ,4,23,19783,10.0
16,6,29,GSNIS-29,3,29,19968,50.0
17,2,4,     ,9,  ,     ,
17,2,8,     ,9,  ,     ,
17,2,12,     ,9,  ,     ,
17,2,16,     ,9,  ,     ,
17,2,20,     ,9,  ,     ,
17,2,24,     ,9,  ,     ,
17,3,29,GSNIS-29,3,29,20000,25.0
17,6,4,     ,9,  ,     ,
17,6,8,     ,9,  ,     ,
17,6,12,     ,9,  ,     ,
17,6,16,     ,9,  ,     ,
17,6,20,     ,9,  ,     ,
17,6,24,     ,9,  ,     ,
17,7,29,GSNIS-29,3,29,20042,45.0
18,2,7,GSNIS-7 ,4,7,20099,200.0
20,6,9,GSNIS-9 ,3,9,20248,600.0
21,5,18,GF-2 ,9,17,20279,70.0
22,2,12,GF-49,3,11,20360,200.0
24,10,33,GSNIS-33,4,33,20707,4.0
25,1,3,GSNIS-3 ,3,3,20553,1490.0
25,8,7,GF-36,4,7,20634,1850.0
25,8,9,GF-22,4,9,20632,1700.0
26,2,12,GF-49,3,11,20761,235.0
27,2,12,GF-49,3,11,20830,400.0
29,2,3,     ,9,  ,     ,1577.0
29,2,6,     ,9,  ,     ,1552.0
29,2,9,     ,9,  ,     ,1400.0
29,2,12,     ,9,  ,     ,1200.0
29,2,15,     ,9,  ,     ,1000.0
29,2,18,     ,9,  ,     ,800.0
29,2,21,     ,9,  ,     ,600.0
29,2,24,     ,9,  ,     ,500.0
29,6,3,     ,9,  ,     ,400.0
29,6,6,     ,9,  ,     ,300.0
29,6,9,     ,9,  ,     ,200.0
29,6,12,     ,9,  ,     ,100.0
29,6,15,     ,9,  ,     ,70.0
29,6,18,     ,9,  ,     ,50.0
29,6,21,     ,9,  ,     ,20.0
29,6,24,     ,9,  ,     ,10.0
